what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305382255891
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1305382277999
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305382285503
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305382286587
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305382287489
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305382311288
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PropertiesFileEditor",1305382319479
closed,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1305382319487
closed,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1305382319493
closed,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1305382319502
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1305382319508
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.closeAll",1305382319524
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305382328397
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305382332189
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305382334656
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305382336466
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305382336664
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1305382339035
stopped,bundle,org.scala-ide.sdt.core,2.0.0.201105131126-beta4-92f1b27,"org.scala-ide.sdt.core",1305382339038
stopped,bundle,org.scala-ide.sdt.aspects,2.0.0.201105131126-beta4-92f1b27,"org.scala-ide.sdt.aspects",1305382339038
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.1.v201004090942,"org.eclipse.datatools.connectivity.oda.template.ui",1305382339038
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1305382339038
